timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704054527059,0,-2,6,2,-3,-3,-9,-13
1456704054527059,2,3,6,-7,-9,-3,4,2
1456704054528039,4,-2,-12,-11,-4,-1,-4,-7
1456704054528039,-2,-1,12,48,-1,-5,-4,0
1456704054529019,-11,-3,2,-35,1,0,0,1
1456704054529019,1,-20,-19,19,7,0,1,-5
1456704054529519,-4,12,-6,-17,-9,-2,-4,1
1456704054529519,14,1,-39,-3,3,4,0,5
1456704054539565,-6,-6,10,10,0,-2,1,-4
1456704054539565,11,-5,-12,-5,-5,-2,-4,-1
1456704054547525,-2,7,12,33,4,-6,2,0
1456704054547525,-2,-23,0,-41,-11,2,1,-2
1456704054555525,-2,6,-11,0,3,2,3,2
1456704054555525,-5,-4,15,-17,-6,-3,-11,-2
1456704054569567,-3,3,3,9,-3,-2,22,-5
1456704054569567,5,13,11,1,6,-3,0,-1
1456704054580527,10,-3,4,-1,-3,-1,1,0
1456704054580527,-15,-3,-1,-1,3,1,-1,0
1456704054584527,3,1,0,-3,2,-1,-5,-3
1456704054584527,-10,-2,-12,-11,-5,-3,-4,-3
1456704054599563,2,0,-7,1,-1,-2,0,2
1456704054599563,-1,5,-8,-8,-4,-5,-10,-1
1456704054607528,-3,-2,1,-7,0,-1,-4,1
1456704054607528,-27,-10,-2,7,3,3,-6,-3
1456704054645541,3,7,36,-19,3,3,1,0
1456704054645541,7,-18,0,28,1,0,5,0
1456704054653542,-1,3,-41,-52,-13,-3,1,-1
1456704054653542,-2,5,2,32,8,-2,-2,1
1456704054654542,-6,-6,-6,-31,-12,-1,-11,-9
1456704054654542,1,-2,15,12,3,-1,3,-6
1456704054655542,-10,-4,3,8,2,-3,-10,4
1456704054655542,0,-4,-2,-1,-1,-1,20,1
1456704054658547,1,4,-16,1,-1,-2,2,2
1456704054658547,-2,2,6,-1,1,-1,-10,-5
1456704054666756,-2,-6,-5,-5,-3,1,5,-4
1456704054666756,0,-2,-2,-11,1,-1,3,0
1456704054675543,19,-4,-3,18,-3,-5,1,-1
1456704054675543,-11,1,6,-12,-4,0,5,0
1456704054688645,18,-7,8,5,1,0,-6,0
1456704054688645,-1,5,0,-9,-4,-2,-9,1
1456704054698544,4,-1,-10,-3,0,-4,1,0
1456704054698544,8,-10,31,2,0,-1,-1,-1
1456704054703748,-11,9,-11,42,8,0,-2,1
1456704054703748,9,-18,-23,-38,-8,0,-1,-2
1456704054719388,-9,4,0,20,0,-4,-5,-3
1456704054719388,0,8,-7,-41,-11,0,-7,-2
