timestamp,x,y,z
1456704054358492,-0.5625,0.4375,0.25
1456704054374493,-1.3125,0,0.4375
1456704054397494,-0.5,0.9375,0.125
1456704054420024,-0.1875,1,-0.25
1456704054434513,0.3125,-0.0625,-0.1875
1456704054457509,1,-1.25,0.1875
1456704054479510,1.9375,-0.8125,0.375
1456704054519058,0.6875,-0.875,0.3125
1456704054521056,0.5,-0.9375,-0.4375
1456704054532524,1.1875,-1.3125,-0.125
1456704054554526,0.1875,-0.8125,0.25
1456704054578526,-1.4375,-0.1875,0.375
1456704054592527,-1.8125,-0.125,0.1875
1456704054636540,-0.25,0,0.0625
1456704054644541,0.3125,0,0
1456704054656542,-0.5625,-1.375,0.3125
1456704054674738,-0.0625,-1.125,0.4375
1456704054697666,0.1875,0.1875,0.375
1456704054712546,-0.5625,0.75,0.25
1456704054735431,-0.5,-0.875,1.0625
1456704054758477,-0.625,-1.125,0.5
1456704054772107,-0.4375,-0.125,0.25
1456704054795365,-0.5,0,0.3125
1456704054818410,-0.5625,-0.25,0.375
1456704054831619,-0.25,-0.5,0.375
1456704054854621,0.125,-0.6875,0.5625
1456704054877623,-0.4375,-0.4375,0.125
1456704054891623,-1.25,0,-0.125
1456704054915128,-1.1875,-0.4375,0.1875
1456704054937635,-0.125,-0.875,0.375
1456704054953637,0.25,-0.8125,0.3125
1456704054974638,-0.125,-0.625,0.125
1456704054997639,0.375,0.125,-0.0625
1456704055013912,0.4375,0.375,-0.125
1456704055034651,0.0625,0.1875,-0.5625
1456704055064653,0.0625,-0.4375,-0.75
1456704055073653,0.4375,-0.75,-0.9375
1456704055094654,0.375,-0.8125,-0.8125
1456704055118378,0,-0.4375,-0.4375
1456704055134384,-0.4375,-0.125,-0.25
1456704055155383,-0.4375,-0.1875,-0.125
1456704055178446,0.4375,-0.1875,-0.1875
1456704055194367,-0.125,-0.1875,-0.1875
1456704055215171,-1.375,-0.1875,-0.8125
1456704055238183,-1.875,0,-1.4375
1456704055254385,-0.3125,0.5,-1.3125
1456704055274186,1.125,0.1875,-1.0625
1456704055298187,0.3125,-0.25,-0.9375
1456704055314187,0.875,-0.8125,-0.875
1456704055334200,2.1875,-2.4375,-0.3125
1456704055358201,2,-2.1875,-1.1875
1456704055374203,1.8125,-1.9375,-1.1875
1456704055394203,1.0625,-1.0625,-1.0625
1456704055418224,0.5625,-1,-0.8125
1456704055434232,0.125,-1.25,-1.6875
1456704055454234,0.125,-0.75,-2.0625
1456704055478234,0.6875,-0.625,-2.1875
1456704055500236,0.3125,-0.3125,-2.1875
1456704055514236,0.5,0.3125,-1.875
1456704055537253,1.25,0.875,-1.5
1456704055559255,0.625,0.625,-1.6875
1456704055574371,-0.8125,-0.5625,-2.5625
1456704055597257,-2.125,-0.6875,-4.125
1456704055619769,0.625,1,-2.6875
1456704055635284,1.125,1.75,-1.3125
1456704055658290,-1.1875,1.9375,-2.3125
1456704055680287,1.0625,1.5625,-3
1456704055695288,3.4375,1.625,-3.5
1456704055718808,2.5625,1.3125,-3.625
1456704055740370,1.25,1.75,-2.8125
1456704055762316,-1.5,0.25,-4.1875
1456704055778371,0.5625,0.75,-5.5
1456704055800370,5.4375,0.8125,-4.8125
1456704055816381,7.1875,0.875,-4.75
1456704055838485,5.125,1.75,-5.125
1456704055860492,2.75,1.375,-5.75
1456704055875336,2.8125,0.625,-6.6875
1456704055899337,5.25,1.25,-7.75
1456704055920352,7.625,3.375,-9.3125
1456704055935366,5.8125,4.3125,-9.75
1456704055958362,3.9375,2.625,-10.75
1456704055979364,5.0625,1.375,-11.1875
1456704055995393,10.125,1.4375,-10.5625
1456704056027222,12.3125,3.125,-9.9375
1456704056039707,7.25,2.625,-10.5625
1456704056055505,5.375,1.4375,-11.625
1456704056078507,9.3125,2.875,-13
1456704056102509,10.5,4.0625,-12.9375
1456704056116035,7,5.1875,-13.125
1456704056138617,4.1875,6.5,-14.1875
1456704056160618,4.9375,6.75,-15.6875
1456704056176619,9.3125,7.9375,-16.75
1456704056198620,11.0625,6.125,-15.1875
1456704056220220,10.75,3.5625,-13.8125
1456704056235437,8.1875,1.5625,-13.25
1456704056258437,9.1875,3.625,-13.75
1456704056279438,10.0625,5.9375,-12.6875
1456704056295473,8.875,6.0625,-12.3125
1456704056319244,8.6875,5.25,-12.8125
1456704056340474,10.6875,5.875,-13.3125
1456704056356255,11.0625,5.0625,-12.1875
1456704056378396,10.375,4.0625,-12.625
1456704056402397,9.6875,2.125,-12.4375
1456704056416152,7.625,-1.125,-11.375
1456704056453418,6.9375,-2.5625,-11.9375
1456704056461416,8.0625,-5.1875,-11.0625
1456704056476417,15.375,-4.25,-11.1875
1456704056498421,17.9375,-4.875,-10.0625
1456704056521937,13,-3,-9.125
1456704056542454,8.875,-0.625,-8.625
1456704056559447,5.1875,-0.75,-6.3125
1456704056581449,6.4375,-1.4375,-3.75
1456704056595464,5.8125,-2.4375,-1
1456704056619012,0.125,-1.8125,-5.125
1456704056641483,2.5,6.375,1.625
1456704056655484,-0.625,9,0.8125
1456704056678485,3.75,4.75,0.9375
1456704056701486,-0.25,0.6875,-1.6875
1456704056724007,6.625,-3,-3.625
1456704056738508,5.5625,-2.625,-2.875
1456704056761509,0.6875,-2.5625,-2.4375
1456704056782550,0.625,-1.125,-2.625
1456704056798511,2.1875,1.125,-2.4375
1456704056822031,2,1.375,-1.5625
1456704056843007,0.375,0.5,-0.625
1456704056858945,1.25,1.3125,0.8125
1456704056881734,1.1875,3.0625,3.0625
1456704056903011,0,3.5625,1.3125
1456704056919486,-0.5,2.8125,1.25
1456704056941758,0,1.8125,1.625
1456704056962761,2,1.875,1.75
1456704056978779,3.0625,1.6875,-0.125
1456704057008762,2.3125,0.9375,1.0625
1456704057022771,1.5,0.75,2.0625
1456704057038778,2,1.125,1.6875
1456704057061780,0.6875,0.5625,1.1875
1456704057082781,-0.9375,0.6875,1.5625
1456704057099019,-2.125,1.1875,1.4375
1456704057122237,-3.25,0.6875,2
1456704057142329,-1.75,0.3125,2
1456704057158192,-1.625,0,2.0625
1456704057180193,-1.625,0.125,1.8125
1456704057202199,-2.25,0.4375,1.3125
1456704057218709,-2.25,-0.0625,1.625
1456704057240227,-1.875,-1.125,2.375
1456704057262387,-0.625,-1.25,2.1875
1456704057279228,-0.375,-0.4375,2.125
1456704057301350,0.3125,-0.625,1.25
1456704057323185,-0.0625,-0.75,2.125
1456704057339384,-1.25,-0.9375,2.4375
1456704057361149,-1.8125,-0.9375,2.1875
1456704057384351,-0.4375,-1.125,1.375
1456704057399353,0.375,-0.375,0.9375
1456704057428859,-0.9375,-0.125,1.1875
