timestamp,x,y,z,w
1456704054358492,0.398621,0.114685,-0.288452,-0.863037
1456704054374493,0.398743,0.114685,-0.288513,-0.862915
1456704054397494,0.398682,0.114685,-0.288513,-0.862976
1456704054420024,0.398743,0.114441,-0.288452,-0.862976
1456704054434513,0.398804,0.114441,-0.288452,-0.862976
1456704054457509,0.398438,0.114624,-0.288574,-0.863037
1456704054479510,0.39801,0.114624,-0.288696,-0.86322
1456704054519058,0.39801,0.114624,-0.288757,-0.86322
1456704054521056,0.39801,0.114563,-0.288757,-0.86322
1456704054532524,0.39801,0.114746,-0.288818,-0.863159
1456704054554526,0.39801,0.114746,-0.288818,-0.863159
1456704054578526,0.398193,0.114746,-0.28894,-0.863037
1456704054592527,0.398438,0.114868,-0.288879,-0.862915
1456704054636540,0.398376,0.114868,-0.288879,-0.862915
1456704054644541,0.398376,0.114868,-0.288879,-0.862976
1456704054656542,0.398376,0.115051,-0.289063,-0.862854
1456704054674738,0.398376,0.115234,-0.289185,-0.862793
1456704054697666,0.398376,0.115234,-0.289185,-0.862793
1456704054712546,0.398376,0.115234,-0.289185,-0.862793
1456704054735431,0.398438,0.115173,-0.289429,-0.862671
1456704054758477,0.39856,0.115234,-0.289612,-0.86261
1456704054772107,0.398499,0.115295,-0.289612,-0.86261
1456704054795365,0.398499,0.115295,-0.289612,-0.86261
1456704054818410,0.398499,0.115295,-0.289612,-0.86261
1456704054831619,0.398499,0.115295,-0.289612,-0.86261
1456704054854621,0.398499,0.115295,-0.289612,-0.86261
1456704054877623,0.398499,0.115295,-0.289612,-0.86261
1456704054891623,0.398682,0.115295,-0.289612,-0.862549
1456704054915128,0.398804,0.115356,-0.289612,-0.862427
1456704054937635,0.398804,0.115356,-0.289612,-0.862427
1456704054953637,0.398743,0.115356,-0.289673,-0.862427
1456704054974638,0.398743,0.115356,-0.289673,-0.862488
1456704054997639,0.398743,0.115356,-0.289673,-0.862488
1456704055013912,0.398743,0.115356,-0.289673,-0.862488
1456704055034651,0.398743,0.115356,-0.289673,-0.862488
1456704055064653,0.398743,0.115356,-0.289673,-0.862488
1456704055073653,0.398743,0.115356,-0.289673,-0.862488
1456704055094654,0.398682,0.115356,-0.289673,-0.862488
1456704055118378,0.398682,0.115295,-0.289673,-0.862488
1456704055134384,0.398682,0.115295,-0.289673,-0.862488
1456704055155383,0.398743,0.115295,-0.289673,-0.862488
1456704055178446,0.398743,0.115356,-0.289673,-0.862488
1456704055194367,0.398743,0.115356,-0.289673,-0.862488
1456704055215171,0.398865,0.115479,-0.28949,-0.862427
