timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704184804851,-1,6,15,4,-2,-2,-3,0
1456704184804851,1,1,10,-1,-3,-2,-3,-1
1456704184805566,-4,-1,-10,-3,-2,-2,-1,0
1456704184805566,3,2,-6,-3,-1,-1,-2,3
1456704184806567,-2,-6,9,2,0,-1,3,1
1456704184806567,-2,1,11,2,0,-1,-1,-5
1456704184807567,-5,10,11,4,0,-2,-5,2
1456704184807567,7,-11,-35,-5,-3,-2,-1,-5
1456704184818887,-2,5,3,-7,-5,-1,-3,-1
1456704184818887,-3,-8,-6,-2,-2,1,-4,-2
1456704184826568,7,0,7,6,0,1,-3,-5
1456704184826568,6,-19,8,-13,-2,-2,-2,-6
1456704184832569,2,14,-20,2,1,-1,2,4
1456704184832569,-3,-8,-2,-2,-2,-2,5,-5
1456704184847571,-6,-9,8,-8,-1,-1,-10,-4
1456704184847571,-6,19,20,14,-3,-3,-1,0
1456704184858256,0,-9,-11,-4,-3,-2,-4,-2
1456704184858256,0,1,8,-2,0,0,1,-3
1456704184862594,-4,-5,-9,3,1,-1,-2,0
1456704184862594,-8,-6,12,-2,-3,-1,-2,-1
1456704184878611,0,7,-35,-8,1,1,2,0
1456704184878611,-3,7,-13,0,-6,-4,-7,-1
1456704184886606,2,-26,-1,-7,-7,-4,4,-3
1456704184886606,-5,2,5,1,2,0,-4,-2
1456704184916606,0,5,-8,-6,0,1,-2,2
1456704184916606,4,4,-1,1,-2,-2,-2,0
1456704184923612,-1,4,-4,-3,-1,-1,-2,-6
1456704184923612,-3,-5,7,3,0,0,-2,-2
1456704184924606,-6,0,-9,-2,-2,-2,-1,2
1456704184924606,12,-3,-2,0,0,1,-2,-4
1456704184925608,-3,-9,-10,-2,-4,-3,5,-1
1456704184925608,2,5,12,-1,0,1,-15,0
1456704184938613,-1,9,3,3,1,0,3,-5
1456704184938613,-7,-10,-30,-14,-8,-4,-2,-2
1456704184945609,0,13,1,4,1,1,0,0
1456704184945609,5,-9,-28,1,0,-2,-2,-4
1456704184952608,1,-2,-15,-11,-4,-5,-2,-4
1456704184952608,-5,-10,-4,-4,-1,-1,-2,0
1456704184967615,1,6,24,3,0,0,-2,1
1456704184967615,-7,10,11,6,-2,-2,2,0
1456704184975620,0,-26,36,6,2,2,1,4
1456704184975620,-4,16,-17,-15,-2,-2,-1,-1
1456704184982620,-4,-3,5,-4,-1,-2,-3,1
1456704184982620,2,-6,-8,-6,-2,0,8,1
1456704184998626,5,16,10,7,-3,-4,-1,-2
1456704184998626,-1,-5,30,9,0,0,-1,0
1456704185005623,-9,-10,-22,-6,0,0,-2,4
1456704185005623,-1,8,8,2,-1,0,0,0
1456704185012623,-1,-15,-9,0,-3,-2,-3,-3
1456704185012623,-1,4,3,-8,-8,-5,-3,-1
1456704185027751,-3,4,9,0,2,0,-1,-4
1456704185027751,5,-24,-18,-7,-2,0,5,-2
1456704185035623,-9,-6,-16,-3,-1,-1,-3,-4
1456704185035623,-1,1,12,8,3,1,0,-1
1456704185042624,1,6,-22,-5,-5,-3,-1,3
1456704185042624,-2,4,11,2,1,-3,-4,2
1456704185058631,-3,-5,18,-4,0,0,0,-6
1456704185058631,-12,-6,-14,4,2,0,0,-1
1456704185065632,8,-5,-4,0,-2,-1,-4,-3
1456704185065632,3,-3,2,-6,-2,-2,-2,2
1456704185072636,-3,14,-20,-3,-3,-1,-1,0
1456704185072636,3,2,22,5,3,0,3,-1
1456704185087637,-7,-18,-12,-7,-4,-1,1,-6
1456704185087637,13,14,1,4,0,-1,-3,2
1456704185095638,-7,-4,1,1,0,-1,-2,1
1456704185095638,-5,-17,-29,-19,-5,-4,-2,-10
1456704185102639,-1,1,7,0,-2,1,-1,-2
1456704185102639,-5,4,-8,-1,-1,-1,1,-5
1456704185118639,3,10,0,4,3,-1,-4,1
