timestamp,x,y,z
1456704184615859,-0.625,0.1875,-0.125
1456704184637877,-0.75,0.25,-0.125
1456704184661848,-0.875,-0.1875,0.1875
1456704184676855,-0.875,-0.0625,0
1456704184697894,0.0625,0.0625,0.125
1456704184722104,0.1875,-0.3125,0.5
1456704184736856,-0.3125,-0.6875,0.3125
1456704184758209,0.6875,-0.3125,-0.6875
1456704184797567,1.6875,-0.1875,-1
1456704184798567,0.8125,-0.75,-0.5
1456704184819568,0.1875,-1.125,-0.375
1456704184841895,-0.875,-0.125,-0.3125
1456704184859094,-1.25,0.6875,0.1875
1456704184879606,-1.0625,0.5625,0.4375
1456704184915606,-0.875,0.3125,0.1875
1456704184939608,-0.3125,0.25,-0.625
1456704184940608,-0.25,0.125,-1.1875
1456704184960614,-0.5625,0.0625,-0.6875
1456704184976620,0.625,0.25,-1
1456704184999622,0.0625,-0.3125,-0.6875
1456704185020785,0.25,-0.3125,-0.6875
1456704185036624,0.5,0.25,-0.25
1456704185059630,0.25,0,0.25
1456704185080637,-0.3125,-0.625,0.0625
1456704185096638,0.125,-0.375,-0.25
1456704185119639,-0.75,-0.1875,-0.25
1456704185141640,-1.9375,0.0625,-0.0625
1456704185156646,-1.875,-0.1875,-0.0625
1456704185179653,-1.3125,-0.3125,-0.125
1456704185200660,0.6875,0,-0.4375
1456704185222661,0.5,0.625,-0.5
1456704185239850,-2.25,0.25,-0.1875
1456704185260858,-3.6875,0.125,-0.6875
1456704185282566,-3.5,1.3125,-0.9375
1456704185299365,-2.875,1.5625,-0.6875
1456704185320615,-1.3125,0.75,-0.6875
1456704185342563,0.625,0.3125,-0.875
1456704185361119,1.875,0.9375,-0.6875
1456704185380777,1.25,1.25,-1.1875
1456704185402789,-0.6875,0.125,-1.8125
1456704185419789,-0.1875,0.5625,-1.625
1456704185440872,1.375,0.5625,-1.5625
1456704185463094,1.9375,0.875,-1.9375
1456704185487605,-0.0625,0.5625,-1.375
1456704185500610,-1.5,-0.125,-2.125
1456704185522821,0.0625,0.9375,-3.3125
1456704185539607,2.5,2.0625,-3.0625
1456704185562059,-0.125,1.625,-2.125
1456704185583155,-4.9375,1.1875,-3.3125
1456704185599824,-2.125,2.1875,-5.0625
1456704185621826,2.25,2.6875,-4.625
1456704185642867,3.0625,2.0625,-4.3125
1456704185659864,2.5625,0.5,-4.5
1456704185688903,1.375,-1.1875,-5.0625
1456704185702883,2.1875,-0.75,-6.8125
1456704185719871,3.1875,1.625,-7.3125
1456704185741866,2.375,3.3125,-6.9375
1456704185770880,-1.125,3.125,-6.25
1456704185779881,-0.625,3.125,-6.1875
