timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456703940361362,-2,-1,-10,-10,-4,-2,-1,-2
1456703940361362,2,-2,3,11,7,2,0,-2
1456703940362363,1,2,-6,-7,7,4,-1,-1
1456703940362363,-3,-2,-3,-23,-20,-3,0,1
1456703940365363,-1,-1,12,40,8,-1,-2,-1
1456703940365363,-5,-10,-24,-17,4,-3,-5,-2
1456703940366578,1,0,-5,-10,-7,1,0,0
1456703940366578,-1,-1,-8,12,8,0,-1,0
1456703940371607,0,2,2,-29,-17,-1,-3,1
1456703940371607,-2,5,33,51,10,-1,1,0
1456703940380363,-3,-5,-13,-24,17,0,-2,-1
1456703940380363,-2,-4,-12,-10,-6,-3,-1,-4
1456703940386404,-1,-2,-4,-11,-2,-2,-2,-3
1456703940386404,0,2,9,6,-12,-1,-2,1
1456703940401369,0,0,11,10,1,-3,0,0
1456703940401369,-2,0,8,1,1,-2,-2,-2
1456703940410400,0,-2,2,-2,-5,-3,0,0
1456703940410400,-1,-1,-9,-11,-3,3,0,-2
1456703940424885,-3,0,9,30,-3,-4,-1,-3
1456703940424885,0,-1,-18,-29,1,0,1,-1
1456703940432881,-2,-1,-1,9,4,0,0,0
1456703940432881,-3,0,-11,-23,-6,-5,-3,-1
1456703940439390,-1,1,13,29,2,3,-1,1
1456703940439390,-2,-4,-18,-22,-10,-1,-2,-2
1456703940487392,-3,-1,-14,-8,-4,-5,-3,-2
1456703940487392,-2,0,10,10,3,1,-1,-2
1456703940488638,-2,1,-1,-9,-5,-2,-1,-2
1456703940488638,0,0,-8,-1,-1,-1,-4,-1
1456703940491393,0,-1,4,0,0,0,-1,-3
1456703940491393,-1,-4,-13,-8,-4,-2,-1,-1
1456703940492393,-8,1,8,8,-2,-1,-1,0
1456703940492393,-1,-1,3,-4,-1,-1,0,-3
1456703940498587,-1,-1,-6,9,3,0,-2,-2
1456703940498587,1,2,0,-8,-3,-1,0,-1
1456703940507393,2,2,-10,-4,1,-1,-2,-1
1456703940507393,-2,-9,30,4,-5,-3,-1,-3
1456703940513664,0,-1,-27,-15,3,-1,-1,-1
1456703940513664,-2,0,14,2,-2,-1,-2,-1
1456703940529400,-2,-3,-22,-3,-3,-1,-3,-4
1456703940529400,-2,2,-1,1,1,-2,-1,0
1456703940536406,-1,-2,14,10,-2,1,0,0
1456703940536406,-2,-2,-5,-3,-1,0,-3,-1
1456703940545407,0,-2,-6,-8,-4,-2,-2,-3
1456703940545407,-1,-2,-7,2,0,-1,-2,-2
1456703940558408,-2,-1,17,7,-4,-3,-1,-4
1456703940558408,-1,0,-22,-4,1,-3,-2,-1
1456703940567408,-2,-3,11,4,-4,1,1,-1
1456703940567408,-3,-4,-17,16,6,1,0,-3
