timestamp,x,y,z
1456703940183118,-2.4375,-0.0625,0.625
1456703940199117,-1.8125,-0.0625,0.875
1456703940221663,-1.1875,-0.3125,0.625
1456703940245138,-2.1875,0,0.625
1456703940260138,-0.125,-0.375,0.5625
1456703940281140,0.875,-0.5625,1.0625
1456703940306173,-0.75,-0.8125,0.6875
1456703940359613,0,-0.0625,0.875
1456703940360368,0.6875,0.75,1.0625
1456703940368561,-1.625,-0.3125,1.375
1456703940383399,-2.1875,-0.1875,1.375
1456703940402364,-0.5,0.25,1
1456703940425885,-0.75,0.1875,0.9375
1456703940440425,0.0625,0.6875,0.625
1456703940486604,-1.0625,0,0.75
1456703940489394,-1.125,0.4375,0.5
1456703940506463,0.125,1.125,1.125
1456703940522135,0.8125,1.4375,1.5625
1456703940544407,0.625,1.5,1.75
1456703940566408,1.0625,1.375,1.8125
1456703940582411,-0.0625,1.375,2
1456703940604653,1.0625,1.875,2.25
1456703940626917,0.0625,0.375,2.625
1456703940641459,-1.625,0.875,2.6875
1456703940664664,-1,1.125,2.8125
1456703940687636,-1.1875,1.4375,3.4375
1456703940701427,0.375,1.875,3.875
1456703940724958,1.3125,1.25,4.5625
1456703940746958,1.5,0.25,5.3125
1456703940762155,0.1875,-2.625,6.5
1456703940784124,-0.9375,-3.5625,7.75
1456703940807128,0.875,-2.875,8.4375
1456703940821906,1.4375,-0.8125,8.75
1456703940843190,0.875,-0.125,10
1456703940867190,0.8125,-0.9375,7.5
1456703940881200,-1.625,-1.25,6.0625
1456703940903193,3.5625,0.1875,3.75
1456703940926705,8.1875,1.875,3.125
1456703940941205,9.1875,3.4375,1.9375
1456703940963206,6.3125,2,0.0625
1456703940986207,5.4375,1.125,-1.75
1456703941002209,9.75,0.9375,-1.125
1456703941023959,11.875,1.4375,-2
1456703941046220,12.1875,1.0625,-2.0625
1456703941061220,14.9375,0.875,0.125
1456703941083221,14.625,0.5,3.6875
1456703941106222,11.9375,-1.5,5
1456703941122729,10.3125,-1.625,3.1875
1456703941143235,11,-2.125,4.0625
1456703941166236,13.75,-2.125,6.375
1456703941182237,13.1875,-2.25,10.8125
1456703941203238,14.125,-2.25,12.375
1456703941226745,14.9375,-2.375,13.3125
1456703941242251,14.9375,-3.25,12.3125
1456703941263252,14.875,-2.25,10.5
1456703941286254,15.1875,0.625,7.125
1456703941302254,17.125,1.625,5.6875
1456703941323762,18.8125,1.25,2.25
1456703941346268,14.3125,-2.3125,0.5
1456703941362269,8.125,-6.1875,2.375
1456703941383269,4.875,-8.625,4
1456703941406472,-0.8125,-6.4375,3.875
1456703941423067,2.375,-6.0625,2.625
1456703941443380,15.5625,-3.375,1.6875
1456703941466186,11.8125,0.0625,5
1456703941482182,-0.6875,-0.375,5.75
1456703941503183,-4.8125,-1.5625,4.375
1456703941526934,0.125,-1.875,6.75
1456703941542397,8.6875,-2.5625,6.125
1456703941565400,4.5,-1.6875,4.0625
1456703941586737,-3.4375,-1.0625,3.625
1456703941602402,-2.5,0.8125,1.9375
1456703941624002,-0.75,1,1.3125
1456703941646024,2.0625,-0.375,2.8125
1456703941663025,6,2.75,2.25
1456703941684185,5.75,5.875,4.375
1456703941707186,2.125,4.9375,4.5
1456703941722552,-0.1875,2.9375,2.125
1456703941743064,7.25,4.1875,1
1456703941766063,8,3.375,3.375
1456703941788063,5.125,3.1875,3.9375
1456703941803064,5.5625,2.75,2.625
1456703941827013,9.9375,2.6875,-0.625
1456703941848474,15.125,4.6875,-1.625
1456703941863475,13,5.5,-1.8125
