timestamp,x,y,z,w
1456703940183118,0.444824,-0.0117188,0.223511,-0.867188
1456703940199117,0.445068,-0.0118408,0.223389,-0.867126
1456703940221663,0.445068,-0.0118408,0.223267,-0.867126
1456703940245138,0.445313,-0.0120239,0.223145,-0.867065
1456703940260138,0.445313,-0.0120239,0.223145,-0.867065
1456703940281140,0.445129,-0.0120239,0.222961,-0.867188
1456703940306173,0.44519,-0.0120239,0.2229,-0.867188
1456703940359613,0.44519,-0.0120239,0.2229,-0.867188
1456703940360368,0.445068,-0.0122681,0.222778,-0.867249
1456703940368561,0.445313,-0.0123901,0.222534,-0.867188
1456703940383399,0.445618,-0.0125732,0.22229,-0.867065
1456703940402364,0.445679,-0.0127563,0.222168,-0.867126
1456703940425885,0.445618,-0.0127563,0.222168,-0.867126
1456703940440425,0.445557,-0.0127563,0.222168,-0.867126
1456703940486604,0.445618,-0.0129395,0.222046,-0.867188
1456703940489394,0.44574,-0.0130615,0.222046,-0.867126
1456703940506463,0.445679,-0.0132446,0.221985,-0.867126
1456703940522135,0.445496,-0.0135498,0.221863,-0.867249
1456703940544407,0.445374,-0.0139771,0.22168,-0.867371
1456703940566408,0.44519,-0.0142822,0.221497,-0.867493
1456703940582411,0.445251,-0.0146484,0.221252,-0.867493
1456703940604653,0.445007,-0.0151367,0.221069,-0.867676
1456703940626917,0.444946,-0.0155029,0.220642,-0.867798
1456703940641459,0.445129,-0.0158691,0.220276,-0.867798
1456703940664664,0.445129,-0.0162964,0.219971,-0.867859
1456703940687636,0.445251,-0.0167847,0.219604,-0.86792
1456703940701427,0.445007,-0.0174561,0.219116,-0.868103
1456703940724958,0.444702,-0.0180664,0.218445,-0.868469
1456703940746958,0.444275,-0.0186157,0.21759,-0.868835
1456703940762155,0.444214,-0.0188599,0.21637,-0.869202
1456703940784124,0.444397,-0.019104,0.214844,-0.869507
1456703940807128,0.444458,-0.0194092,0.213257,-0.869812
1456703940821906,0.444336,-0.0199585,0.211853,-0.870239
1456703940843190,0.444031,-0.020752,0.210327,-0.870728
1456703940867190,0.443665,-0.0213013,0.209045,-0.871216
1456703940881200,0.443848,-0.0216675,0.208008,-0.871338
1456703940903193,0.443237,-0.0218506,0.20752,-0.871765
1456703940926705,0.44165,-0.0218506,0.207336,-0.87262
1456703940941205,0.43988,-0.0220947,0.207397,-0.873474
1456703940963206,0.438721,-0.0221558,0.207581,-0.874023
1456703940986207,0.437805,-0.0217285,0.20813,-0.87439
1456703941002209,0.436523,-0.0211182,0.208557,-0.874939
1456703941023959,0.434753,-0.0204468,0.209106,-0.875671
1456703941046220,0.433228,-0.0197754,0.209656,-0.876343
1456703941061220,0.431152,-0.0192871,0.209778,-0.877319
1456703941083221,0.428955,-0.019165,0.209229,-0.87854
1456703941106222,0.427185,-0.019104,0.208313,-0.879639
1456703941122729,0.425903,-0.0189819,0.207581,-0.880432
1456703941143235,0.424744,-0.0187378,0.206726,-0.881226
1456703941166236,0.422974,-0.0186768,0.205444,-0.882385
1456703941182237,0.421082,-0.019043,0.203491,-0.883728
1456703941203238,0.418762,-0.0197144,0.201172,-0.885315
1456703941226745,0.416138,-0.0205078,0.19873,-0.887085
1456703941242251,0.413391,-0.0212402,0.196228,-0.888916
1456703941263252,0.410706,-0.0220337,0.194153,-0.890625
1456703941286254,0.407776,-0.0228882,0.192871,-0.892212
1456703941302254,0.404724,-0.0233765,0.192017,-0.893738
1456703941323762,0.401306,-0.0234375,0.191711,-0.895386
1456703941346268,0.399231,-0.022522,0.191528,-0.896362
1456703941362269,0.398193,-0.0211182,0.190918,-0.896973
1456703941383269,0.397461,-0.0194092,0.18988,-0.897583
1456703941406472,0.397949,-0.0183716,0.188965,-0.897522
1456703941423067,0.398621,-0.0169067,0.188354,-0.8974
1456703941443380,0.396973,-0.0151367,0.188232,-0.898193
1456703941466186,0.395386,-0.0144653,0.187744,-0.899048
1456703941482182,0.395508,-0.0145874,0.18689,-0.899109
1456703941503183,0.397034,-0.0144653,0.186157,-0.898621
1456703941526934,0.397766,-0.0142822,0.18512,-0.898499
1456703941542397,0.396606,-0.0139771,0.18396,-0.899292
1456703941565400,0.395691,-0.0137939,0.183289,-0.89978
1456703941586737,0.395996,-0.013855,0.182739,-0.89978
1456703941602402,0.396362,-0.0141602,0.182495,-0.899658
1456703941624002,0.396545,-0.0145264,0.182312,-0.899658
1456703941646024,0.396362,-0.0146484,0.181824,-0.89978
1456703941663025,0.395264,-0.0148315,0.181763,-0.90033
1456703941684185,0.393799,-0.0158081,0.181519,-0.901001
1456703941707186,0.392944,-0.0169678,0.181152,-0.901428
1456703941722552,0.392944,-0.0177002,0.180969,-0.901428
1456703941743064,0.391663,-0.0179443,0.181213,-0.901917
1456703941766063,0.390015,-0.0183716,0.180969,-0.902649
1456703941788063,0.388733,-0.0189819,0.180603,-0.903259
1456703941803064,0.387756,-0.0197144,0.180298,-0.903748
1456703941827013,0.386169,-0.0198975,0.180542,-0.904358
1456703941848474,0.383423,-0.0198364,0.181213,-0.905396
1456703941863475,0.380981,-0.0199585,0.182007,-0.90625
1456703941886753,0.378906,-0.0200806,0.182922,-0.906982
1456703941908477,0.377258,-0.0200806,0.183594,-0.907532
1456703941923488,0.37561,-0.0195313,0.184204,-0.908081
1456703941946493,0.374146,-0.0186768,0.18512,-0.908508
1456703941968499,0.372131,-0.0180054,0.186523,-0.909058
1456703941985496,0.370728,-0.0179443,0.187683,-0.909424
1456703942006532,0.36908,-0.0174561,0.188782,-0.909851
1456703942028953,0.367249,-0.0166626,0.190369,-0.910278
1456703942043901,0.366211,-0.0159912,0.191956,-0.9104
1456703942067120,0.364929,-0.0154419,0.193542,-0.910583
1456703942089091,0.363342,-0.0148315,0.194519,-0.911011
1456703942105906,0.361206,-0.013916,0.19574,-0.911621
1456703942127003,0.360046,-0.0131226,0.197266,-0.911743
1456703942148213,0.359497,-0.0125732,0.198669,-0.911682
1456703942165211,0.357849,-0.0122681,0.200378,-0.911987
1456703942186481,0.356567,-0.0128174,0.201782,-0.91217
1456703942208500,0.355957,-0.0128174,0.20343,-0.911987
1456703942226137,0.355469,-0.0126343,0.205017,-0.911865
1456703942246803,0.354492,-0.0124512,0.206543,-0.911865
1456703942268803,0.353149,-0.0120239,0.207886,-0.912109
1456703942285803,0.351624,-0.0114746,0.208862,-0.912476
1456703942306810,0.350281,-0.0108643,0.209717,-0.912842
1456703942328860,0.34906,-0.0101929,0.210876,-0.913025
1456703942345865,0.347534,-0.00952148,0.21228,-0.913269
1456703942366867,0.345276,-0.00927734,0.213684,-0.913818
1456703942388868,0.342834,-0.00939941,0.214783,-0.91449
1456703942405870,0.341003,-0.00970459,0.215637,-0.914917
1456703942426820,0.340027,-0.0101318,0.216431,-0.9151
1456703942448586,0.339233,-0.0101929,0.217407,-0.915222
1456703942465586,0.338074,-0.0100708,0.218628,-0.915344
1456703942486863,0.335938,-0.0101318,0.219971,-0.915771
1456703942508802,0.334045,-0.0101929,0.221313,-0.916199
1456703942525848,0.332886,-0.00964355,0.222656,-0.91626
1456703942546805,0.331726,-0.00848389,0.224365,-0.91626
1456703942569030,0.330444,-0.00775146,0.226318,-0.91626
1456703942586030,0.329285,-0.00769043,0.228149,-0.91626
1456703942607059,0.328186,-0.00775146,0.229675,-0.91626
1456703942629215,0.326965,-0.00762939,0.230652,-0.916443
1456703942645693,0.325867,-0.00744629,0.231506,-0.916626
1456703942674733,0.325073,-0.00726318,0.232849,-0.916565
1456703942688667,0.324097,-0.00695801,0.234619,-0.916443
1456703942705928,0.32312,-0.00695801,0.236328,-0.916382
1456703942726728,0.322632,-0.00695801,0.237976,-0.916138
1456703942747950,0.322815,-0.00708008,0.239685,-0.915588
1456703942772043,0.322205,-0.00708008,0.241516,-0.915344
