timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704106225355,1,-6,7,1,-2,-3,-2,-1
1456704106225355,3,-3,9,0,-4,0,-8,1
1456704106226355,-3,-7,6,7,0,-1,5,-5
1456704106226355,0,1,1,-40,-7,-3,-4,-3
1456704106227355,-3,2,12,5,-1,-2,-1,-4
1456704106227355,-3,-12,-13,-2,-1,-2,-10,-4
1456704106228355,14,4,8,4,0,-2,-2,2
1456704106228355,0,5,18,35,5,2,4,-1
1456704106239354,-18,-10,-33,-23,-7,0,2,6
1456704106239354,-2,14,1,-5,1,1,1,-10
1456704106254650,4,-9,-8,4,-2,-1,-6,-1
1456704106254650,-2,-2,-10,-1,-1,-2,0,0
1456704106255352,-6,2,-10,3,3,0,22,-2
1456704106255352,6,0,-5,2,-3,0,1,2
1456704106270353,1,1,-8,-9,-1,-1,-5,0
1456704106270353,-13,-10,-5,3,-6,-3,-3,-3
1456704106278602,4,-6,4,-13,3,2,-7,-2
1456704106278602,-15,9,-2,16,1,1,-4,-2
1456704106283366,1,0,6,-23,-11,-3,-6,-4
1456704106283366,-3,-1,-12,-28,-2,0,11,1
1456704106308583,3,-14,-11,30,1,-1,-6,-3
1456704106308583,8,4,4,-2,5,0,3,7
1456704106311583,-20,-13,3,0,0,-2,-11,-3
1456704106311583,11,10,-4,5,-5,2,-2,4
1456704106337585,-6,-7,-3,9,0,-1,-5,-6
1456704106337585,-1,-5,13,-15,-3,-2,5,4
1456704106344585,-2,0,-6,-3,1,-1,12,1
1456704106344585,-2,-2,1,5,-2,-1,-2,-4
1456704106345585,-1,9,-9,-4,0,1,-5,1
1456704106345585,-10,-4,2,7,-1,0,9,-6
1456704106346585,9,8,7,-2,0,-2,-5,2
1456704106346585,-4,-9,-9,-12,-6,-3,-1,1
1456704106359586,11,-4,2,1,-1,-3,-2,-4
1456704106359586,-8,-1,2,18,1,0,-7,-2
1456704106365774,-5,2,-6,28,0,1,1,0
1456704106365774,-1,-6,-21,-45,0,-2,-2,0
1456704106373592,2,12,15,20,-3,-2,3,-6
1456704106373592,7,-6,-8,-33,-2,-2,-5,-6
1456704106388605,-6,-1,-16,8,0,1,-1,1
1456704106388605,4,0,16,23,1,-3,-3,-2
1456704106404777,-5,-1,9,-4,2,2,0,-2
1456704106404777,1,4,-1,10,4,2,-2,-1
1456704106406771,2,5,5,-8,-8,-6,-6,-5
1456704106406771,-1,2,8,5,-1,0,-1,5
1456704106419775,-3,-8,-9,-11,1,0,9,1
1456704106419775,-6,3,-1,8,1,-1,-1,-1
1456704106425773,-2,-16,-11,-20,-1,-1,-16,-3
1456704106425773,4,3,12,4,-4,-3,1,-3
1456704106433778,-1,-1,-4,-3,-3,-3,8,1
1456704106433778,7,1,-3,0,1,0,-4,1
1456704106448768,-4,-4,2,-13,-8,-4,-1,-3
1456704106448768,8,-14,-17,15,6,2,-11,2
1456704106455768,-12,-13,13,-15,-2,-4,-12,-2
1456704106455768,-6,2,-14,-8,-8,0,2,-1
1456704106465609,6,1,18,28,4,-2,-2,-6
1456704106465609,0,17,-41,-31,-3,0,5,-6
1456704106479632,-1,-13,-2,7,-1,-2,-1,0
1456704106479632,1,1,23,6,1,-3,-2,1
1456704106485735,-2,-3,-15,-7,-5,-2,0,-1
1456704106485735,-5,6,24,27,1,-3,1,-2
1456704106493854,-5,0,-10,3,-1,0,0,-3
1456704106493854,1,-9,-20,-20,-2,1,-6,-2
1456704106508857,-7,1,-10,-2,-2,-3,2,0
1456704106508857,-12,9,16,-8,1,3,7,-2
1456704106516857,19,-3,-8,-7,-3,-3,-6,-2
1456704106516857,13,-6,11,0,-5,-3,-2,-4
1456704106529859,-15,-1,7,-1,3,1,-3,2
1456704106529859,-3,-14,0,4,0,-1,-4,1
1456704106538894,-3,9,-2,2,-6,-1,9,3
1456704106538894,-4,5,11,24,-1,-1,15,4
1456704106545859,2,-9,-11,-36,0,0,1,0
1456704106545859,0,5,1,1,0,-1,-11,-6
1456704106553859,-6,1,17,8,-2,-4,-14,-3
1456704106553859,-3,-12,-13,1,-1,0,-2,3
1456704106567866,8,2,1,-1,1,1,-2,-5
1456704106567866,-4,9,9,0,-1,-3,2,-1
1456704106576689,1,4,-16,-2,8,1,-2,-1
1456704106576689,-5,-11,-6,-12,-13,-5,-6,-6
1456704106583434,4,0,4,-6,-4,-1,1,1
1456704106583434,2,-1,7,14,-1,-1,-3,-4
1456704106598900,-3,-7,-13,-34,-5,1,4,2
1456704106598900,2,10,-2,3,4,-2,-6,-3
1456704106604895,-9,-17,1,5,1,0,0,4
1456704106604895,16,5,12,-2,-3,1,4,-4
1456704106612894,-6,1,3,1,-1,1,3,-2
1456704106612894,-5,1,29,-7,0,0,-1,-1
1456704106628894,2,4,-14,4,0,-1,0,0
1456704106628894,-6,-5,-9,-5,1,-2,1,-1
1456704106636113,1,-4,-3,13,2,2,-4,2
1456704106636113,3,4,-8,-3,-2,2,-9,-1
1456704106642901,-5,6,16,1,-1,-1,8,-6
1456704106642901,-3,-14,-4,1,-6,-3,-2,2
1456704106659159,1,4,-4,-8,-2,-3,-4,-2
1456704106659159,4,5,-5,-1,1,1,7,-4
1456704106665109,-18,-22,-10,4,2,-1,-10,4
1456704106665109,-3,0,-14,-4,0,0,13,3
1456704106673740,5,-15,2,12,1,1,0,0
1456704106673740,0,1,-25,-27,-1,-1,-1,-3
1456704106688973,7,16,9,4,-3,-2,-3,-3
1456704106688973,2,-2,-4,-14,-3,-3,-4,3
1456704106695974,-6,12,3,16,2,-2,-1,1
1456704106695974,-12,-4,-1,11,-2,0,1,-2
1456704106710975,11,-1,-7,-8,0,1,-1,-4
1456704106710975,-12,-11,-8,-5,0,-2,-5,-1
1456704106719340,-1,1,2,-12,-13,-2,1,-2
1456704106719340,1,-1,-8,1,-1,-3,-3,2
1456704106725262,1,1,6,28,-3,-3,-2,-4
1456704106725262,-2,-1,-8,-30,4,0,-1,-3
1456704106733280,1,-5,-4,-11,-3,0,0,-1
1456704106733280,-4,-3,3,2,0,-5,-3,-2
1456704106747978,-1,-5,0,-10,-3,-2,-1,0
1456704106747978,3,-1,19,19,-2,-2,-1,1
1456704106755262,-13,-6,-45,-15,-5,-1,-1,-4
1456704106755262,-1,6,17,14,1,-2,-3,4
1456704106769985,0,3,-7,-2,-1,-2,2,-6
1456704106769985,-3,-9,-10,2,-1,-1,-3,-2
1456704106779501,0,3,15,-14,-2,1,-1,2
1456704106779501,1,-9,-5,3,-1,-2,-2,2
1456704106785797,-1,2,7,-5,-2,-2,-3,-2
1456704106785797,-2,1,-4,-3,-3,-2,-5,-2
1456704106793403,-7,0,7,6,4,-2,-1,-9
1456704106793403,6,-4,-6,0,-1,-2,1,-1
1456704106808340,8,1,3,-17,-11,-2,-16,8
1456704106808340,-1,-2,-2,4,-1,0,13,-4
1456704106824376,1,1,3,9,2,-1,-3,0
1456704106824376,-2,1,0,2,3,2,1,-1
1456704106830011,15,-5,-5,20,1,0,-9,-3
1456704106830011,-10,3,-7,-23,-4,-1,-6,3
1456704106839372,0,-1,7,0,0,-5,-2,-1
1456704106839372,0,-3,-13,-21,-5,-1,-3,-4
1456704106845011,-4,14,11,15,3,1,6,-2
1456704106845011,2,-19,9,8,-2,-1,-2,0
1456704106853012,4,-1,4,-4,0,-2,0,-4
1456704106853012,-9,3,-10,-6,-3,-3,-3,-3
1456704106868018,-6,2,15,-4,5,0,5,2
1456704106868018,-4,14,-22,2,5,1,-2,-4
1456704106875340,-11,-11,5,-3,-11,-2,-4,0
1456704106875340,15,-6,-25,4,1,-3,-1,-3
1456704106890794,-9,-8,-11,-10,-1,1,3,0
1456704106890794,-6,5,16,3,-5,-6,-7,-8
1456704106899831,1,18,-3,-6,0,1,-1,3
1456704106899831,7,-6,2,0,-5,-1,-1,-4
1456704106905792,-12,-9,-15,-6,-1,-2,0,-7
1456704106905792,2,-1,0,0,3,-1,6,0
1456704106913634,-1,-1,1,4,-1,-2,-16,-1
1456704106913634,-3,6,8,-5,0,-1,-2,-3
1456704106928797,-6,-5,8,7,2,0,10,3
1456704106928797,8,-14,-7,-10,-7,-1,-4,-9
1456704106935794,-6,-2,-1,5,0,1,-9,0
1456704106935794,-7,1,0,-4,-3,-1,8,-1
1456704106950637,3,6,-7,-5,-1,0,-2,1
1456704106950637,1,5,30,23,0,-2,-3,1
1456704106959754,3,-7,-24,-21,2,-1,1,-2
1456704106959754,-11,5,17,-6,0,-2,-9,4
1456704106965637,6,-9,6,-1,-2,-1,1,-5
1456704106965637,0,1,-9,6,3,1,-3,2
1456704106981658,-10,-7,12,5,-6,-3,0,-1
1456704106981658,-7,-10,-30,-13,-6,0,2,4
1456704106988458,-4,16,10,6,4,-2,-5,-7
1456704106988458,-8,2,-3,-4,1,1,-3,1
1456704106995748,10,-8,-2,-16,-1,-1,4,1
1456704106995748,-1,-7,7,24,-1,-3,-18,-4
1456704107010791,-3,-3,-22,-20,-4,1,9,2
1456704107010791,-2,11,-14,-4,-1,-1,-4,-1
1456704107019824,-2,-4,0,1,0,-1,5,-1
1456704107019824,-4,-4,-4,-13,0,-4,-6,-2
1456704107025784,1,-5,-2,-10,-7,-2,-2,-1
1456704107025784,1,1,4,2,-1,-2,-3,1
1456704107041675,1,4,9,1,-3,-1,3,0
1456704107041675,1,-2,7,1,6,0,2,-2
1456704107048670,-1,-7,8,8,4,-3,-3,0
1456704107048670,-3,-5,-14,-12,-6,-1,-10,2
1456704107063671,-5,-3,5,9,-2,-4,12,-11
1456704107063671,-2,2,5,3,1,1,-5,-2
1456704107069670,5,-4,6,-5,-1,-2,-5,0
1456704107069670,-7,-14,-11,-3,-2,0,3,-2
1456704107079192,0,7,2,2,2,-1,-6,-5
1456704107079192,10,22,9,4,-1,-2,-1,8
1456704107085197,-9,-18,-7,-7,-4,0,-12,-9
1456704107085197,-8,-27,-3,-3,-5,-1,24,9
1456704107101249,3,4,-4,9,2,1,-1,1
1456704107101249,0,3,0,-9,-4,0,6,-1
1456704107108210,0,10,-4,-5,-4,-3,-11,0
1456704107108210,0,1,6,2,-2,-2,-7,-5
1456704107115211,0,-7,-11,0,1,2,4,2
1456704107115211,-1,-1,0,6,2,0,5,-6
1456704107132211,-1,-2,-6,-9,-4,-2,4,7
1456704107132211,1,1,0,3,1,-2,-11,-5
1456704107139212,-3,-2,1,1,-6,-2,-2,0
1456704107139212,-3,-1,-12,-6,1,0,-3,-2
1456704107145212,-3,-6,-4,0,1,0,-5,-1
1456704107145212,4,4,-10,-11,-1,0,8,-2
1456704107161212,-4,-18,5,14,-1,-2,-16,-2
1456704107161212,-8,1,24,3,-1,-2,3,1
1456704107168248,-6,-7,5,0,0,-1,2,-4
1456704107168248,-1,11,0,-1,0,0,-7,-2
1456704107175226,16,-4,-4,-4,2,0,0,3
1456704107175226,-3,-6,-12,-3,-4,1,5,-4
1456704107190233,1,2,-1,1,-1,-2,-13,-2
1456704107190233,1,-2,3,1,0,-1,-2,1
1456704107199234,-7,2,0,-4,0,-1,2,-3
1456704107199234,1,-6,-4,-8,-9,-4,2,-2
1456704107205234,5,5,-1,6,4,-1,0,0
1456704107205234,-7,-4,-1,-6,-9,-2,-22,-3
1456704107221236,4,5,-9,-10,-3,-2,10,-6
1456704107221236,-11,-8,-6,7,-1,-1,-8,11
1456704107228236,8,-1,17,-4,-3,-2,6,-4
1456704107228236,0,13,-1,2,3,2,18,5
1456704107235236,-6,-1,-8,-7,-1,1,-6,-2
1456704107235236,1,-10,28,-1,0,0,-4,-6
1456704107250242,-9,-8,-1,2,-1,-3,-5,-2
1456704107250242,2,-2,-2,-3,-4,-4,-7,-4
1456704107259240,12,6,1,1,1,1,-1,8
1456704107259240,-6,6,-5,-3,-3,-3,0,-4
1456704107265239,-4,-18,-12,-7,0,-1,5,1
1456704107265239,0,2,3,-3,-4,1,3,-2
1456704107281459,-6,-6,-9,3,0,-3,-2,-3
1456704107281459,1,0,-9,6,5,-1,0,6
1456704107288459,-4,9,-5,-3,-3,-1,8,-4
1456704107288459,-1,-2,-6,-8,-5,-2,-3,-3
1456704107295666,-3,1,4,1,-1,-2,-6,4
1456704107295666,1,-13,3,-4,-6,-1,1,-3
1456704107310672,-4,9,-3,-1,3,0,4,-3
1456704107310672,-1,-8,9,8,4,-1,-16,-2
1456704107319676,-11,10,1,-1,0,0,30,0
1456704107319676,-9,-11,-10,-4,-8,-2,2,-5
1456704107333715,7,-2,-6,9,6,4,-2,7
1456704107333715,-1,-2,-15,-5,-3,-3,-2,-7
1456704107341472,2,11,9,-4,-5,-3,-11,2
1456704107341472,-5,-5,-41,-10,0,-1,-4,-10
1456704107356714,-14,-8,-14,35,4,-1,-3,-8
1456704107356714,3,-2,-3,-40,-2,-3,15,7
1456704107357713,5,-7,-5,-1,-14,-1,-3,0
1456704107357713,-12,14,1,1,5,0,-1,1
1456704107370474,1,7,1,-7,-2,-2,-1,2
1456704107370474,10,1,7,26,3,-1,-17,-4
1456704107379483,1,-6,-2,-32,-7,0,-2,0
1456704107379483,1,-6,-1,3,-7,-2,-1,-8
1456704107393402,7,4,-5,19,12,-1,0,5
1456704107393402,-12,0,11,22,4,0,-2,-1
1456704107401402,-3,-1,-1,-18,0,-1,-15,-6
1456704107401402,13,4,3,10,1,-1,7,6
1456704107416406,-10,-10,-4,8,6,-3,-3,-10
1456704107416406,11,-8,-4,-34,-22,-1,0,-1
1456704107417404,-11,3,-3,36,9,-4,-5,0
1456704107417404,0,-1,8,-13,10,4,-4,2
1456704107430199,0,-11,-4,-23,-14,-4,0,11
1456704107430199,38,33,54,12,-8,-1,-4,-9
1456704107439395,-33,-6,-2,-15,-5,-5,-8,-1
1456704107439395,-31,-5,4,23,7,-1,6,-6
1456704107453194,14,-2,1,-35,2,1,7,10
1456704107453194,-4,-1,-4,26,12,-1,8,6
1456704107461199,2,-4,-1,-22,-9,0,-9,-15
1456704107461199,13,15,-9,13,3,-1,-8,3
1456704107476611,-9,2,5,-19,-9,-2,-18,-10
1456704107476611,-11,-4,-10,21,5,-1,3,-3
