timestamp,x,y,z
1456704106043305,0.0625,0.0625,0.125
1456704106066306,-1.0625,-0.375,0.125
1456704106082315,-0.4375,0,0.125
1456704106103318,1.0625,0.125,0.375
1456704106127529,-1.4375,-0.625,0.375
1456704106142326,-2.4375,-1.25,0.25
1456704106163322,0.1875,-0.625,0.5625
1456704106187338,1.4375,-0.125,0.4375
1456704106218355,1.125,0.125,0.3125
1456704106219350,-1.125,-0.75,0.3125
1456704106240353,-1.375,-1.0625,-0.125
1456704106269352,-0.1875,-0.5625,0.4375
1456704106279367,0.5625,0.1875,0.625
1456704106309583,-1.0625,0.4375,0.375
1456704106336584,-0.6875,0.0625,0.3125
1456704106360586,-0.25,-0.8125,0.4375
1456704106361749,-0.3125,-0.9375,0.75
1456704106380593,-0.625,-0.25,0.4375
1456704106405775,-0.25,-0.6875,0.1875
1456704106420773,0.875,-0.625,-0.375
1456704106439826,0.875,0.1875,-0.0625
1456704106464769,-0.875,-0.0625,0.375
1456704106480644,-1.9375,-0.25,-0.5
1456704106500856,0.375,-0.125,-1.4375
1456704106516857,1.9375,0.1875,-1.75
1456704106539859,1.4375,0.125,-1.8125
1456704106560859,-0.4375,0.25,-1.5
1456704106577386,-0.3125,0.875,-2.4375
1456704106599894,1.8125,1.125,-2.4375
1456704106620117,2.125,2.5,-2.125
1456704106636894,-1.5,2.0625,-2.1875
1456704106659896,-3.4375,0.5,-3.8125
1456704106680626,-0.375,0.4375,-4.8125
1456704106703263,1.375,1.875,-4.6875
1456704106719975,-0.125,1.9375,-4.4375
1456704106739977,0.5,1.1875,-5.75
1456704106762979,2.6875,1.75,-7.375
1456704106780501,3.4375,1,-8.5625
1456704106800294,2.6875,-0.875,-10.1875
1456704106825008,3.5,-1.75,-10.75
1456704106840009,4.0625,-0.875,-9.9375
1456704106862011,4.0625,1.1875,-10.375
1456704106883839,3.125,1.625,-10.1875
1456704106899831,1.5625,-0.1875,-10.0625
1456704106920793,0.75,-1.1875,-10.625
1456704106943829,1.25,0,-10.875
1456704106959754,0.3125,1.4375,-10.625
1456704106982158,0.1875,3.125,-11.1875
1456704107003827,-0.9375,4.625,-10.75
1456704107019824,-2.5,4.625,-10.625
1456704107041675,-2.625,4,-11.5625
1456704107064671,-0.125,3.8125,-12.5625
1456704107080192,3.4375,5.3125,-13.3125
1456704107102209,3.6875,5.8125,-11.25
1456704107123215,4.3125,5.1875,-10.5
1456704107140212,4.875,4.5625,-9.75
1456704107162213,5.8125,4.25,-10.9375
1456704107183228,5,3.875,-11.0625
1456704107200234,6.625,2.375,-11.0625
1456704107222235,5.4375,0.4375,-9.3125
1456704107243236,5.5625,1,-8.625
1456704107260245,5.3125,2.5,-9.375
1456704107282759,4.875,1.8125,-9.875
1456704107303675,6.125,0.5,-9.8125
1456704107320675,7.125,-0.25,-9.8125
1456704107342473,7,-1.125,-10.375
1456704107363469,6.5,-1.4375,-8.0625
1456704107380484,5.8125,-2,-7.5
1456704107402407,3,-2.8125,-5.875
1456704107423408,2.6875,-3.125,-5.3125
1456704107440410,3.9375,-2.9375,-5.1875
1456704107462354,4.375,-2.8125,-5.125
1456704107483611,4.9375,-0.75,-5.9375
1456704107507194,3.125,2.0625,-4.4375
1456704107522195,2.3125,4.3125,-5.0625
1456704107543496,2.5,4.625,-3.3125
1456704107560197,4.375,1.8125,-3.25
1456704107582467,4.3125,-0.8125,-2.5
1456704107603169,5.8125,-0.375,-2.4375
1456704107619941,7.5625,2.5,-0.6875
1456704107641941,6.75,5.0625,0.4375
1456704107662943,2.375,5,1.25
1456704107680449,3.5625,4.625,4.8125
1456704107701965,-1.375,-4.375,4.5
1456704107722972,-2.375,-10.9375,-0.4375
1456704107739967,4.5625,-11.1875,-4.1875
1456704107761970,7.125,-6.5625,-4.6875
1456704107783671,1.6875,-0.125,-2.75
1456704107800396,-5.6875,2.3125,-0.5
1456704107824187,-4.0625,2.125,0.875
1456704107843487,3.1875,2.75,-0.375
1456704107860190,3.25,2.8125,-1.0625
1456704107882507,-0.1875,0.875,-2.125
1456704107903697,-1.3125,-0.5625,-3.0625
1456704107934762,0.0625,0,-2.9375
1456704107942471,2.75,0.8125,-2.6875
1456704107965472,2.125,0.9375,-2
1456704107986499,-0.0625,0.3125,-1.375
1456704108002691,-1.5,1.625,-1
1456704108025691,-0.875,3.125,-2.125
1456704108046511,-1.0625,3.375,-3.4375
1456704108070511,-2.25,3,-4.3125
1456704108085763,-1.1875,4.5,-3.1875
1456704108106841,0.25,3.5625,-2.25
1456704108121842,-0.1875,3.0625,-3
1456704108145844,-0.625,3.5,-3.8125
1456704108166105,-1,2.8125,-5.5
1456704108182563,1.4375,1.5,-6.8125
1456704108212069,2.375,1.9375,-6.875
1456704108226103,0.125,3.5,-6.125
1456704108242069,-1.875,3.8125,-6.375
1456704108265071,-1.5,3.875,-6
1456704108286082,-0.5,2.875,-5.5
1456704108302120,-0.25,1.4375,-4.25
1456704108325119,-0.6875,2.3125,-3.9375
1456704108349120,-1.8125,3.25,-4
1456704108362330,-1.5,2.5625,-3.6875
1456704108385501,0.875,1.4375,-2.75
1456704108406274,2.6875,0.875,-2.9375
1456704108421999,1.375,0.9375,-3.3125
1456704108447002,-0.625,0,-2.5
1456704108466009,-1.3125,-0.5625,-2.4375
1456704108489771,0.1875,-1.0625,-2.0625
1456704108505778,2.6875,-1.0625,-1.3125
1456704108526116,2.5625,-1.6875,-0.1875
1456704108542780,0.75,-1.4375,-0.75
1456704108564784,-1.125,-0.9375,-1.875
1456704108586575,-0.125,-0.9375,-2
1456704108601870,1.25,-0.75,-0.875
1456704108624871,1.3125,-0.6875,-0.375
1456704108645874,-0.5,-1.6875,0.625
1456704108661874,-0.25,-1.0625,0.0625
1456704108685724,-0.625,-0.1875,-0.0625
1456704108706179,-0.9375,-0.9375,0.25
1456704108721912,-1.0625,-1.5625,0.375
1456704108745914,-0.375,-1.75,1.0625
1456704108766915,-1,-1.3125,0.8125
1456704108782654,-1.0625,-0.8125,1.1875
1456704108805381,-0.75,-0.6875,1.625
1456704108826371,-0.125,-1.4375,1.5
1456704108842154,1.8125,-0.5,-0.3125
1456704108865160,1.3125,0.6875,-0.0625
