timestamp,x,y,z,w
1456704106043305,0.341614,0.18634,-0.438538,-0.81012
1456704106066306,0.341614,0.186401,-0.438599,-0.810059
1456704106082315,0.341614,0.186401,-0.438599,-0.810059
1456704106103318,0.34137,0.186157,-0.438721,-0.810181
1456704106127529,0.341492,0.186157,-0.438843,-0.810059
1456704106142326,0.341797,0.186523,-0.438843,-0.809875
1456704106163322,0.341797,0.186584,-0.438843,-0.809875
1456704106187338,0.341492,0.186462,-0.438904,-0.809937
1456704106218355,0.341187,0.186401,-0.439026,-0.810059
1456704106219350,0.341125,0.186462,-0.439087,-0.809998
1456704106240353,0.341309,0.186768,-0.439087,-0.809875
1456704106269352,0.34137,0.186768,-0.439087,-0.809875
1456704106279367,0.341309,0.186707,-0.439087,-0.809875
1456704106309583,0.34137,0.186584,-0.439148,-0.809814
1456704106336584,0.34137,0.186584,-0.439148,-0.809875
1456704106360586,0.34137,0.186584,-0.439148,-0.809875
1456704106361749,0.34137,0.186584,-0.439148,-0.809875
1456704106380593,0.341309,0.186584,-0.439148,-0.809875
1456704106405775,0.34137,0.186584,-0.439148,-0.809875
1456704106420773,0.34137,0.186584,-0.439148,-0.809814
1456704106439826,0.34137,0.186584,-0.439148,-0.809814
1456704106464769,0.341309,0.186584,-0.439148,-0.809875
1456704106480644,0.341492,0.186707,-0.439026,-0.809814
1456704106500856,0.341309,0.18689,-0.438843,-0.809937
1456704106516857,0.341003,0.186951,-0.438599,-0.810181
1456704106539859,0.34082,0.18689,-0.438416,-0.810425
1456704106560859,0.340881,0.186707,-0.438232,-0.810486
1456704106577386,0.341064,0.186768,-0.437866,-0.810608
1456704106599894,0.340759,0.186768,-0.437439,-0.810974
1456704106620117,0.340454,0.186584,-0.436951,-0.811401
1456704106636894,0.340759,0.186584,-0.436462,-0.811584
1456704106659896,0.341431,0.187073,-0.43573,-0.811523
1456704106680626,0.341675,0.187378,-0.434998,-0.811768
1456704106703263,0.341492,0.187134,-0.434326,-0.812256
1456704106719975,0.34137,0.186951,-0.433655,-0.812683
1456704106739977,0.341064,0.187195,-0.432739,-0.813293
1456704106762979,0.340088,0.187195,-0.431702,-0.81427
1456704106780501,0.33905,0.187317,-0.430542,-0.815247
1456704106800294,0.338318,0.187805,-0.429199,-0.816162
1456704106825008,0.337463,0.188293,-0.427917,-0.817078
1456704106840009,0.336609,0.18866,-0.426697,-0.817993
1456704106862011,0.335815,0.188782,-0.425293,-0.81897
1456704106883839,0.335144,0.188965,-0.423828,-0.819946
1456704106899831,0.334778,0.189575,-0.422424,-0.82074
1456704106920793,0.334473,0.190308,-0.420959,-0.821411
1456704106943829,0.333984,0.190857,-0.419495,-0.822266
1456704106959754,0.33374,0.191406,-0.417786,-0.823059
1456704106982158,0.333557,0.191711,-0.415955,-0.824036
1456704107003827,0.333618,0.191772,-0.414124,-0.82489
1456704107019824,0.333801,0.191772,-0.412292,-0.825745
1456704107041675,0.333984,0.191895,-0.4104,-0.826599
1456704107064671,0.333862,0.191895,-0.408386,-0.827637
1456704107080192,0.333008,0.191467,-0.406372,-0.829102
1456704107102209,0.332275,0.190735,-0.404602,-0.830383
1456704107123215,0.331543,0.190002,-0.403015,-0.831604
1456704107140212,0.33075,0.189331,-0.401611,-0.832764
1456704107162213,0.329529,0.188843,-0.400024,-0.834106
1456704107183228,0.328735,0.188599,-0.398315,-0.835327
1456704107200234,0.327454,0.188477,-0.39679,-0.836609
1456704107222235,0.326416,0.188416,-0.39563,-0.837524
1456704107243236,0.325256,0.188171,-0.394592,-0.838562
1456704107260245,0.324219,0.187683,-0.393372,-0.8396
1456704107282759,0.323303,0.1875,-0.392029,-0.840637
1456704107303675,0.322021,0.187561,-0.390747,-0.841736
1456704107320675,0.320435,0.187439,-0.389648,-0.842834
1456704107342473,0.318909,0.187744,-0.388428,-0.843933
1456704107363469,0.317566,0.187927,-0.387512,-0.844849
1456704107380484,0.316284,0.188171,-0.386719,-0.845581
1456704107402407,0.315552,0.188538,-0.386169,-0.846008
1456704107423408,0.314758,0.188965,-0.385742,-0.846436
1456704107440410,0.313599,0.18927,-0.385254,-0.846985
1456704107462354,0.312439,0.189697,-0.384827,-0.847595
1456704107483611,0.311218,0.189758,-0.384155,-0.848267
1456704107507194,0.310547,0.189514,-0.383484,-0.848938
1456704107522195,0.310059,0.188782,-0.382629,-0.849609
1456704107543496,0.309875,0.187927,-0.382019,-0.850159
1456704107560197,0.309265,0.187134,-0.381714,-0.850708
1456704107582467,0.308411,0.187012,-0.381592,-0.851074
1456704107603169,0.307373,0.186829,-0.381409,-0.851563
1456704107619941,0.306274,0.18634,-0.381287,-0.852112
1456704107641941,0.305298,0.185059,-0.381348,-0.852722
1456704107662943,0.305176,0.183838,-0.381409,-0.853027
1456704107680449,0.305054,0.182495,-0.38208,-0.853027
1456704107701965,0.305237,0.182251,-0.383179,-0.852539
1456704107722972,0.304688,0.184082,-0.383606,-0.852173
1456704107739967,0.302979,0.186096,-0.383606,-0.852356
1456704107761970,0.301086,0.187012,-0.383362,-0.852905
1456704107783671,0.300537,0.187256,-0.382935,-0.85321
1456704107800396,0.301697,0.187195,-0.382629,-0.852966
1456704107824187,0.302917,0.186951,-0.382629,-0.8526
1456704107843487,0.302734,0.18634,-0.382507,-0.852844
1456704107860190,0.302124,0.185669,-0.382324,-0.853271
1456704107882507,0.301758,0.185547,-0.382019,-0.853577
1456704107903697,0.301636,0.185852,-0.381531,-0.85376
1456704107934762,0.301575,0.186157,-0.381042,-0.853943
1456704107942471,0.30127,0.186035,-0.380676,-0.854248
1456704107965472,0.300903,0.185791,-0.380432,-0.854553
1456704107986499,0.300903,0.185791,-0.380188,-0.854675
1456704108002691,0.301208,0.18573,-0.379944,-0.854675
1456704108025691,0.301575,0.185486,-0.379395,-0.854858
