timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704146278507,-1,2,1,2,0,-3,0,-2
1456704146278507,6,-4,0,0,0,-1,-11,-1
1456704146278507,-1,-1,-6,2,1,3,27,3
1456704146278507,-1,-3,-15,-6,-3,-4,-4,-5
1456704146280508,-10,-2,-2,0,-1,-2,-3,-1
1456704146280508,-11,-4,6,-5,-2,0,-2,0
1456704146283508,19,6,-1,-4,0,-2,-7,-2
1456704146283508,-11,-14,-3,-4,-1,-1,-6,1
1456704146288704,7,-1,0,2,4,3,2,-1
1456704146288704,-6,3,2,-1,-5,-3,-1,-3
1456704146298721,-6,-7,7,1,-2,-2,-7,-2
1456704146298721,5,3,-3,-3,0,-1,-1,-2
1456704146303706,2,11,14,-1,-3,-3,-5,-3
1456704146303706,-1,-9,20,2,2,2,1,-4
1456704146320520,-7,4,-21,0,0,-3,-8,-5
1456704146320520,1,-2,7,27,0,0,0,2
1456704146328221,4,0,-26,-32,-4,-1,-2,-8
1456704146328221,-6,11,-1,-2,-2,-2,1,-1
1456704146333915,-3,-16,-5,2,-2,-1,-4,0
1456704146333915,1,0,16,-3,0,-1,2,0
1456704146350000,-14,-3,-2,13,1,0,-1,0
1456704146350000,5,2,-17,-9,-6,-2,4,1
1456704146395725,6,0,0,2,1,1,24,2
1456704146395725,-10,0,0,-1,-4,-3,-4,-4
1456704146396725,11,-1,-4,0,0,-2,-7,0
1456704146396725,-2,3,16,-4,-2,0,-4,-3
1456704146398725,11,4,-4,-2,1,-1,-6,2
1456704146398725,-2,1,7,-8,-2,-1,-1,0
1456704146399724,-8,-6,-4,-2,-2,-2,-7,-4
1456704146399724,-8,-4,24,23,2,1,15,5
1456704146409010,-3,-1,-11,-19,-2,-1,-4,-2
1456704146409010,-6,2,-11,-9,-3,-2,1,1
1456704146417318,3,4,-8,0,-2,-2,-3,-3
1456704146417318,-1,1,-4,-7,0,-1,-2,-2
1456704146424319,-9,-13,2,2,-4,-3,-5,1
1456704146424319,-1,-8,4,0,0,0,1,-4
1456704146439527,-8,0,-7,-2,-3,-1,1,3
1456704146439527,7,2,-3,0,-2,-2,0,0
1456704146447528,0,6,6,6,1,3,-4,-3
1456704146447528,-4,-4,-16,-2,-3,-3,-5,-7
1456704146453533,9,-1,8,4,0,1,4,0
1456704146453533,-3,-7,-23,-5,0,-2,-4,2
1456704146469527,10,5,6,-9,-3,-2,-7,-2
1456704146469527,-12,-1,9,25,4,1,2,-10
1456704146477544,-5,-6,-10,-15,-5,-4,-4,-2
1456704146477544,-2,-1,15,-14,-1,-3,-6,-2
1456704146484528,-5,-2,-13,-7,-2,-1,13,-4
1456704146484528,14,0,-3,3,0,0,0,7
1456704146508538,-7,7,10,4,3,1,5,2
1456704146508538,7,-2,3,12,-4,-2,-13,-3
1456704146509529,-10,-1,5,1,-2,-3,-9,-2
1456704146509529,4,-1,-31,-14,-2,-2,3,0
1456704146513531,-2,-2,15,6,-1,-1,-5,-6
1456704146513531,-5,-9,-23,-9,-3,-2,1,-3
1456704146529062,0,-3,-3,8,2,-1,2,-1
1456704146529062,3,0,0,-3,0,-2,-4,3
1456704146537556,1,0,-2,-6,1,1,2,0
1456704146537556,-9,-9,3,3,-2,-2,1,-3
1456704146543563,1,-4,1,1,0,1,-2,0
1456704146543563,6,7,2,-8,-4,-4,-5,-5
1456704146559559,-5,-4,12,9,-1,-1,0,-4
1456704146559559,6,-1,5,-15,-2,-1,4,-3
1456704146567558,-3,2,-12,12,-1,-3,-7,1
1456704146567558,-8,-4,13,-7,-1,0,-2,-4
1456704146574559,4,1,0,13,0,-2,2,0
1456704146574559,9,5,-14,-7,-2,-1,-4,1
1456704146588847,-6,-4,-15,-10,-1,-2,-6,-3
1456704146588847,-10,2,6,-4,-1,0,5,1
1456704146596560,-4,-5,-12,-12,-3,0,-16,-1
1456704146596560,2,5,-1,4,-2,0,-7,-8
1456704146605561,-5,-1,3,2,1,0,5,-3
1456704146605561,3,-4,4,8,-2,-2,-1,3
1456704146620355,-5,-5,-2,-1,1,-2,-3,-6
1456704146620355,-6,-2,-9,-3,-1,-2,-7,6
1456704146634864,4,3,3,-2,-3,-1,-5,-2
1456704146634864,0,-3,19,7,0,0,-2,1
1456704146635865,2,-1,-26,-8,-3,-1,3,4
1456704146635865,-2,3,8,1,-1,-2,2,0
