timestamp,x,y,z
1456704146116973,-0.25,-0.25,-0.0625
1456704146138479,-0.5625,-0.125,0.375
1456704146162481,-0.75,-0.125,0.125
1456704146177482,-0.5625,-0.5625,-0.125
1456704146198488,0.5,-1,-0.5625
1456704146222999,0.5,-0.9375,-0.6875
1456704146268507,-0.3125,-1,-0.6875
1456704146277508,1.4375,-0.5625,-0.75
1456704146285508,1.625,-0.875,-0.8125
1456704146300511,1,-0.5625,-1
1456704146321224,0.125,-0.4375,-1
1456704146342727,-0.125,-1.1875,-0.875
1456704146387010,1.8125,-1.4375,-1.4375
1456704146387724,2.6875,-0.4375,-1.375
1456704146402044,0.625,0.5625,-1.375
1456704146418016,-1,0,-1.75
1456704146440527,0.125,-0.8125,-2.125
1456704146461534,0.75,-0.9375,-1.1875
1456704146477544,0.875,-1.1875,-1.875
1456704146508538,0.875,-0.0625,-3.1875
1456704146522353,1.5625,0.6875,-2.9375
1456704146537556,1.0625,1.3125,-2.5
1456704146560559,0,0.625,-3.0625
1456704146582559,2,0.6875,-4.125
1456704146605561,3.125,0.5,-4.6875
1456704146621598,4.125,0.375,-4.5
1456704146641864,3.8125,0.4375,-4.125
1456704146664867,3.1875,0.625,-5
1456704146680865,4.375,1.8125,-5.25
1456704146701875,3.375,1.5625,-5.625
1456704146725402,2.4375,2.5,-6.625
1456704146741165,0.75,3.25,-7.0625
1456704146770094,0.8125,4.3125,-7.5625
1456704146787124,4.4375,4.9375,-8.25
1456704146800893,4.0625,3.6875,-8.625
1456704146822357,3.6875,2.75,-7.6875
1456704146845318,3.5625,3.0625,-8.75
1456704146860318,3.4375,4,-10.0625
1456704146882454,3.375,2.9375,-10.0625
1456704146905454,3.875,1.75,-10.6875
1456704146921272,4.6875,2.625,-10.0625
1456704146942526,6,2.125,-10.25
1456704146973311,8.6875,1.8125,-13
1456704146981311,9.25,2,-11.75
1456704147004448,7.4375,1.4375,-11.0625
1456704147025263,6.9375,1.5,-10.8125
1456704147041427,9,1.9375,-14.6875
1456704147063163,15.625,1,-13.125
1456704147086506,11,-0.1875,-10.8125
1456704147101164,7.0625,-0.875,-11.3125
1456704147123179,12.3125,1.25,-10.3125
1456704147145191,9.5625,0.4375,-10.25
1456704147161189,10.9375,0.5625,-9.125
1456704147190214,9.3125,1.5,-7.3125
1456704147205192,4.625,4.25,-4.9375
1456704147221197,5.75,6.875,-2.6875
1456704147243203,3.0625,9.0625,0.8125
1456704147265205,0.4375,11.5,4.875
1456704147281206,-3.25,8.6875,5.8125
1456704147305207,3.6875,3.75,4.6875
1456704147324224,7.5,1.625,3.5
1456704147341408,12.125,-0.4375,-2.4375
1456704147363236,5.75,-1.5625,-3.5
1456704147386414,4.5,-1.0625,-1.75
1456704147408238,3.6875,-0.5,-0.375
1456704147423247,1.125,-2.0625,0.25
1456704147445264,2.875,-2.3125,-0.25
1456704147467265,3.1875,-1.5625,-0.375
1456704147484266,1.9375,-0.3125,-1.25
1456704147505271,-0.125,0.5,-1.125
1456704147528973,-1.1875,0.5625,0.625
1456704147542943,-0.4375,0.4375,1.25
1456704147565677,0.0625,0.875,0.375
1456704147588680,-1.8125,0.375,-1.0625
1456704147603681,-2.5625,0.5625,-2.3125
1456704147626189,-1.625,0.75,-2.625
1456704147648697,-0.8125,0.8125,-1.8125
1456704147663699,-0.5625,0.875,-1.0625
1456704147685700,-0.5625,0.875,-1.9375
1456704147708701,0.8125,2.0625,-2.25
1456704147724215,1.3125,2.375,-2.375
1456704147752723,-0.875,1.25,-2.5625
1456704147768724,-0.0625,0.8125,-3.4375
1456704147783724,1.4375,1,-3.125
1456704147805725,2.1875,2,-3.4375
1456704147830931,-0.5625,2.6875,-4.4375
1456704147844136,-2.8125,2.9375,-2.8125
1456704147866145,-1.4375,2.9375,-0.875
1456704147889134,-0.3125,2.1875,-1.5625
